epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,10164.3,1.32932,0.97567,1.12901,0.74286,0.76309,0.76823,0.34061,1.4102,15.6514,1.05487,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,10341.2,1.33224,0.97469,1.1261,0.75145,0.77916,0.78888,0.34552,1.40885,15.0282,1.05605,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,10520.1,1.31759,0.95495,1.11513,0.74784,0.77732,0.76439,0.33566,1.42828,13.1087,1.06624,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,10701.4,1.33267,0.96427,1.12846,0.77366,0.78264,0.78398,0.3396,1.42154,13.4662,1.05663,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,10884.9,1.31473,0.95593,1.11771,0.77854,0.78066,0.78853,0.34779,1.41807,12.9919,1.05287,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,11065.8,1.31335,0.95716,1.11862,0.75046,0.7749,0.76985,0.34039,1.41967,13.9438,1.0545,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,11249.9,1.32193,0.96918,1.11353,0.75396,0.77283,0.77397,0.34163,1.42722,15.0637,1.05596,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,11431.8,1.32187,0.95681,1.11747,0.7468,0.77605,0.75676,0.33404,1.4289,14.4221,1.05613,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,11613.2,1.32994,0.97059,1.11989,0.74397,0.77988,0.76446,0.33784,1.42596,13.9794,1.05298,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,11793.1,1.31248,0.95408,1.1139,0.74675,0.78572,0.7636,0.33563,1.42789,14.9141,1.05562,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,11973.9,1.32292,0.95503,1.11536,0.75544,0.78756,0.76549,0.33474,1.4337,15.1326,1.05918,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,12154.5,1.30322,0.95592,1.10986,0.75027,0.78491,0.76113,0.33454,1.432,15.6259,1.05865,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
